fecha,modo,afluencia
2006-10-19,Metrobús,248716
2006-10-20,Metrobús,257046
2006-10-21,Metrobús,135240
2006-10-22,Metrobús,73921
2006-10-23,Metrobús,235553
2006-10-24,Metrobús,236994
2006-10-25,Metrobús,242081
2006-10-26,Metrobús,240821
2006-10-27,Metrobús,251986
2006-10-28,Metrobús,137500
2006-10-29,Metrobús,79090
2006-10-30,Metrobús,237910
2006-10-31,Metrobús,239955
2006-11-01,Metrobús,229723
2006-11-02,Metrobús,109791
2006-11-03,Metrobús,203356
2006-11-04,Metrobús,122757
2006-11-05,Metrobús,72151
2006-11-06,Metrobús,241812
2006-11-07,Metrobús,243792
2006-11-08,Metrobús,246976
2006-11-09,Metrobús,247292
2006-11-10,Metrobús,252729
2006-11-11,Metrobús,138872
2006-11-12,Metrobús,75961
2006-11-13,Metrobús,234317
2006-11-14,Metrobús,237899
2006-11-15,Metrobús,251115
2006-11-16,Metrobús,245254
2006-11-17,Metrobús,248845
2006-11-18,Metrobús,129946
2006-11-19,Metrobús,67697
2006-11-20,Metrobús,72292
2006-11-21,Metrobús,235205
2006-11-22,Metrobús,240144
2006-11-23,Metrobús,236820
2006-11-24,Metrobús,243421
2006-11-25,Metrobús,140458
2006-11-26,Metrobús,75285
2006-11-27,Metrobús,233565
2006-11-28,Metrobús,235265
2006-11-29,Metrobús,257947
2006-11-30,Metrobús,276680
2006-12-01,Metrobús,96268
2006-12-02,Metrobús,127924
2006-12-03,Metrobús,73723
2006-12-04,Metrobús,245917
2006-12-05,Metrobús,246306
2006-12-06,Metrobús,262170
2006-12-07,Metrobús,255921
2006-12-08,Metrobús,252692
2006-12-09,Metrobús,140272
2006-12-10,Metrobús,76359
2006-12-11,Metrobús,239049
2006-12-12,Metrobús,193433
2006-12-13,Metrobús,247338
2006-12-14,Metrobús,251342
2006-12-15,Metrobús,255850
2006-12-16,Metrobús,133312
2006-12-17,Metrobús,83084
2006-12-18,Metrobús,238035
2006-12-19,Metrobús,239980
2006-12-20,Metrobús,244319
2006-12-21,Metrobús,222847
2006-12-22,Metrobús,217396
2006-12-23,Metrobús,118796
2006-12-24,Metrobús,62041
2006-12-25,Metrobús,43414
2006-12-26,Metrobús,160012
2006-12-27,Metrobús,169201
2006-12-28,Metrobús,164453
2006-12-29,Metrobús,169687
2006-12-30,Metrobús,107308
2006-12-31,Metrobús,54270
2007-01-01,Metrobús,46178
2007-01-02,Metrobús,176850
2007-01-03,Metrobús,206975
2007-01-04,Metrobús,216225
2007-01-05,Metrobús,224038
2007-01-06,Metrobús,116459
2007-01-07,Metrobús,72964
